iter, curl_err, torque_err
773,0.015339,0.008784
774,0.016204,0.096638
775,0.020893,0.003458
776,0.01626,0.008697
777,0.015964,0.002119
778,0.015385,0.052821
779,0.012146,0.011525
780,0.017807,0.01527
781,0.011684,0.025455
782,0.012308,0.00853
783,0.016395,0.025415
784,0.011997,0.0044
785,0.016092,0.030678
786,0.013855,0.018085
787,0.036443,0.000022
788,0.013392,0.0112
789,0.022002,0.007677
790,0.013341,0.000083
791,0.013293,0.012859
792,0.012643,0.035755
793,0.014168,0.008328
794,0.013837,0.049758
795,0.015871,0.035959
796,0.010829,0.019718
797,0.01239,0.024422
798,0.032636,0.029776
799,0.012871,0.008925
800,0.022098,0.002182
801,0.012685,0.005735
802,0.018183,0.020538
803,0.009941,0.000819
804,0.01269,0.003196
805,0.028602,0.000422
806,0.013686,0.034572
807,0.013449,0.007919
808,0.013327,0.002777
809,0.013282,0.014626
810,0.0139,0.033205
811,0.030596,0.026099
812,0.021035,0.016102
813,0.015343,0.014403
814,0.020475,0.021686
815,0.021383,0.049575
816,0.019394,0.016067
817,0.014924,0.005588
818,0.014468,0.011095
819,0.017549,0.001282
820,0.020452,0.037793
821,0.013185,0.012084
822,0.021846,0.024694
823,0.01151,0.012175
824,0.021569,0.016718
825,0.019678,0.018476
826,0.021384,0.020716
827,0.014909,0.001331
828,0.012821,0.017727
829,0.012744,0.014581
830,0.014502,0.033271
831,0.015889,0.015135
832,0.021466,0.030872
833,0.013356,0.010804
834,0.063683,0.061623
835,0.01977,0.011461
836,0.02229,0.001268
837,0.015386,0.008188
838,0.01346,0.010426
839,0.016581,0.013274
840,0.013087,0.025723
841,0.011464,0.005408
842,0.013829,0.015444
843,0.011765,0.005869
844,0.009981,0.014628
845,0.021001,0.039657
846,0.011136,0.004588
847,0.01639,0.027264
848,0.0136,0.00017
849,0.019255,0.019375
850,0.014833,0.014286
851,0.025473,0.009811
852,0.012437,0.026515
853,0.068516,0.016627
854,0.014082,0.030999
855,0.015864,0.018916
856,0.041284,0.010013
857,0.019,0.036542
858,0.014218,0.002179
859,0.009951,0.006882
860,0.015217,0.054718
861,0.012019,0.042075
862,0.03511,0.008264
863,0.01702,0.029835
864,0.01186,0.029094
865,0.0227,0.008689
866,0.014299,0.051386
867,0.030766,0.007892
868,0.014938,0.002407
869,0.011572,0.001478
870,0.0151,0.029847
871,0.032525,0.042908
872,0.013595,0.015284
873,0.012028,0.049293
874,0.017529,0.022053
875,0.020355,0.072287
876,0.013761,0.007379
877,0.01508,0.017174
878,0.012394,0.026189
879,0.018185,0.012274
880,0.019455,0.007088
881,0.033769,0.075056
882,0.015624,0.02809
883,0.028799,0.015217
884,0.014383,0.035013
885,0.030666,0.004791
886,0.014279,0.032215
887,0.014783,0.000021
888,0.01552,0.008263
889,0.009977,0.004709
890,0.014287,0.023247
891,0.014218,0.006545
892,0.027851,0.021274
893,0.013434,0.005586
894,0.047637,0.007148
895,0.009728,0.01464
896,0.011841,0.006228
897,0.013246,0.009935
898,0.0141,0.001022
899,0.021649,0.000983
900,0.010738,0.011241
901,0.011104,0.006676
902,0.014031,0.009983
903,0.019088,0.075855
904,0.013659,0.011996
905,0.01462,0.020525
906,0.014213,0.010095
907,0.013028,0.038916
908,0.015396,0.034285
909,0.020892,0.018655
910,0.010921,0.011728
911,0.031871,0.013043
912,0.014675,0.01289
913,0.01545,0.052606
914,0.021096,0.036736
915,0.016543,0.001899
916,0.020915,0.032888
917,0.011381,0.007637
918,0.01174,0.048264
919,0.012165,0.019385
920,0.095616,0.039017
921,0.015432,0.00983
922,0.052837,0.008897
923,0.012966,0.003929
924,0.018945,0.017912
925,0.021614,0.007696
926,0.0101,0.010186
927,0.016256,0.000491
928,0.01433,0.019296
929,0.012336,0.000755
930,0.013677,0.040801
931,0.03746,0.024737
932,0.01353,0.020824
933,0.026707,0.003738
934,0.024438,0.007098
935,0.015625,0.013193
936,0.020031,0.039663
937,0.025143,0.001521
938,0.010165,0.059453
939,0.040773,0.02596
940,0.014715,0.023171
941,0.013686,0.006715
942,0.01431,0.015424
943,0.011972,0.004727
944,0.016543,0.006577
945,0.011992,0.005055
946,0.011058,0.011795
947,0.010868,0.051515
948,0.015346,0.016815
949,0.015223,0.007494
950,0.016668,0.005575
951,0.0214,0.043481
952,0.019846,0.095136
953,0.010382,0.009391
954,0.015985,0.020644
955,0.012022,0.08113
956,0.022203,0.01051
957,0.072851,0.051094
958,0.010685,0.009799
959,0.011395,0.010639
960,0.011292,0.014619
961,0.012095,0.002115
962,0.029159,0.006359
963,0.01621,0.084373
964,0.013769,0.034491
965,0.016123,0.013135
966,0.009854,0.000667
967,0.018924,0.00922
968,0.021438,0.007478
969,0.01404,0.016435
970,0.010181,0.0285
971,0.013232,0.00052
972,0.037643,0.036636
973,0.030813,0.009038
974,0.0255,0.044397
975,0.012613,0.005951
976,0.019267,0.027241
977,0.024068,0.016101
978,0.013705,0.011626
979,0.010159,0.021816
980,0.011535,0.010501
981,0.019427,0.003531
982,0.025675,0.039515
983,0.016487,0.014124
984,0.02009,0.007083
985,0.010739,0.01585
986,0.014325,0.006392
987,0.014559,0.004906
988,0.014549,0.009397
989,0.01666,0.011579
990,0.01404,0.004294
991,0.013503,0.035829
992,0.011856,0.02858
993,0.02799,0.011413
994,0.013376,0.007776
995,0.013674,0.01868
996,0.013899,0.048407
997,0.018343,0.037717
998,0.012105,0.007057
999,0.01368,0.040341
1000,0.012892,0.005001
1001,0.020883,0.028671
1002,0.01517,0.015997
1003,0.015207,0.009711
1004,0.014493,0.002698
1005,0.01428,0.008849
1006,0.030793,0.018869
1007,0.027142,0.023961
1008,0.01171,0.023552
1009,0.011421,0.009523
1010,0.015486,0.016448
1011,0.042947,0.025879
1012,0.035341,0.073697
1013,0.024746,0.007052
1014,0.01662,0.057623
1015,0.013883,0.026115
1016,0.013692,0.013875
1017,0.011705,0.010224
1018,0.013465,0.03279
1019,0.020764,0.048442
1020,0.010417,0.011657
1021,0.014869,0.027517
1022,0.010769,0.028089
1023,0.017209,0.00091
1024,0.009488,0.033695
,,
MEAN,0.017832916015625,0.0182071862304688
STDEV,0.00923043146579552,
MAX,0.095616,
